15:41:37.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:37.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:38.254 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.884 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:38.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:39.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:39.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.053 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.353 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:40.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.104 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.284 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.374 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.464 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.554 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.674 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.764 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.854 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:41.974 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.064 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.154 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.274 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.364 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.454 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.574 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.664 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.754 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.874 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:42.964 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.054 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.174 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.264 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:43.353 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:43.474 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:43.564 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.654 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
15:41:43.774 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.864 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:43.954 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fc000000> 
15:41:44.074 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fa000000> 
15:41:44.164 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	fb000000> 
