17:02:09.817 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	73020000> 	17:02:09.817	7302	0000	0273	0000	627	0
17:02:09.877 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	7d020000> 	17:02:09.877	7d02	0000	027d	0000	637	0
17:02:09.906 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	81020000> 	17:02:09.906	8102	0000	0281	0000	641	0
17:02:09.966 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	81020000> 	17:02:09.966	8102	0000	0281	0000	641	0
17:02:10.026 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	83020000> 	17:02:10.026	8302	0000	0283	0000	643	0
17:02:10.086 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	84020000> 	17:02:10.086	8402	0000	0284	0000	644	0
17:02:10.116 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	86020000> 	17:02:10.116	8602	0000	0286	0000	646	0
17:02:10.176 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	86020000> 	17:02:10.176	8602	0000	0286	0000	646	0
17:02:10.236 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:10.236	8802	0000	0288	0000	648	0
17:02:10.266 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.266	8902	0000	0289	0000	649	0
17:02:10.326 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.326	8902	0000	0289	0000	649	0
17:02:10.386 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.386	8902	0000	0289	0000	649	0
17:02:10.446 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.446	8902	0000	0289	0000	649	0
17:02:10.476 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.476	8902	0000	0289	0000	649	0
17:02:10.536 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.536	8902	0000	0289	0000	649	0
17:02:10.596 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.596	8902	0000	0289	0000	649	0
17:02:10.656 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.656	8902	0000	0289	0000	649	0
17:02:10.716 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.716	8902	0000	0289	0000	649	0
17:02:10.746 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.746	8902	0000	0289	0000	649	0
17:02:10.806 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.806	8902	0000	0289	0000	649	0
17:02:10.866 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.866	8902	0000	0289	0000	649	0
17:02:10.926 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	89020000> 	17:02:10.926	8902	0000	0289	0000	649	0
17:02:10.986 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:10.986	8802	0000	0288	0000	648	0
17:02:11.016 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:11.016	8802	0000	0288	0000	648	0
17:02:11.077 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:11.077	8802	0000	0288	0000	648	0
17:02:11.136 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:11.136	8802	0000	0288	0000	648	0
17:02:11.166 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	88020000> 	17:02:11.166	8802	0000	0288	0000	648	0
17:02:11.226 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	86020000> 	17:02:11.226	8602	0000	0286	0000	646	0
17:02:11.286 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	86020000> 	17:02:11.286	8602	0000	0286	0000	646	0
17:02:11.346 - Characteristic (77BC0536-AAC5-11EC-B909-0242AC120002) notified: 	85020000> 	17:02:11.346	8502	0000	0285	0000	645	0
